Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,Unemployment,Month,Year
1,1643690.9,0,42.31,2.572,8.106,February,2010
1,1641957.44,1,38.51,2.548,8.106,February,2010
1,1611968.17,0,39.93,2.514,8.106,February,2010
1,1409727.59,0,46.63,2.561,8.106,February,2010
1,1554806.68,0,46.5,2.625,8.106,March,2010
1,1439541.59,0,57.79,2.667,8.106,March,2010
1,1472515.79,0,54.58,2.72,8.106,March,2010
1,1404429.92,0,51.45,2.732,8.106,March,2010
1,1594968.28,0,62.27,2.719,7.808,April,2010
1,1545418.53,0,65.86,2.77,7.808,April,2010
1,1466058.28,0,66.32,2.808,7.808,April,2010
1,1391256.12,0,64.84,2.795,7.808,April,2010
1,1425100.71,0,67.41,2.78,7.808,April,2010
1,1603955.12,0,72.55,2.835,7.808,May,2010
1,1494251.5,0,74.78,2.854,7.808,May,2010
1,1399662.07,0,76.44,2.826,7.808,May,2010
1,1432069.95,0,80.44,2.759,7.808,May,2010
1,1615524.71,0,80.69,2.705,7.808,June,2010
1,1542561.09,0,80.43,2.668,7.808,June,2010
1,1503284.06,0,84.11,2.637,7.808,June,2010
1,1422711.6,0,84.34,2.653,7.808,June,2010
1,1492418.14,0,80.91,2.669,7.787,July,2010
1,1546074.18,0,80.48,2.642,7.787,July,2010
1,1448938.92,0,83.15,2.623,7.787,July,2010
1,1385065.2,0,83.36,2.608,7.787,July,2010
1,1371986.6,0,81.84,2.64,7.787,July,2010
1,1605491.78,0,87.16,2.627,7.787,August,2010
1,1508237.76,0,87.0,2.692,7.787,August,2010
1,1513080.49,0,86.65,2.664,7.787,August,2010
1,1449142.92,0,85.22,2.619,7.787,August,2010
1,1540163.53,0,81.21,2.577,7.787,September,2010
1,1507460.69,1,78.69,2.565,7.787,September,2010
1,1430378.67,0,82.11,2.582,7.787,September,2010
1,1351791.03,0,80.94,2.624,7.787,September,2010
1,1453329.5,0,71.89,2.603,7.838,October,2010
1,1508239.93,0,63.93,2.633,7.838,October,2010
1,1459409.1,0,67.18,2.72,7.838,October,2010
1,1345454.0,0,69.86,2.725,7.838,October,2010
1,1384209.22,0,69.64,2.716,7.838,October,2010
1,1551659.28,0,58.74,2.689,7.838,November,2010
1,1494479.49,0,59.61,2.728,7.838,November,2010
1,1483784.18,0,51.41,2.771,7.838,November,2010
1,1955624.11,1,64.52,2.735,7.838,November,2010
1,1548033.78,0,49.27,2.708,7.838,December,2010
1,1682614.26,0,46.33,2.843,7.838,December,2010
1,1891034.93,0,49.84,2.869,7.838,December,2010
1,2387950.2,0,52.33,2.886,7.838,December,2010
1,1367320.01,1,48.43,2.943,7.838,December,2010
1,1444732.28,0,48.27,2.976,7.742,January,2011
1,1391013.96,0,35.4,2.983,7.742,January,2011
1,1327405.42,0,44.04,3.016,7.742,January,2011
1,1316899.31,0,43.83,3.01,7.742,January,2011
1,1606629.58,0,42.27,2.989,7.742,February,2011
1,1649614.93,1,36.39,3.022,7.742,February,2011
1,1686842.78,0,57.36,3.045,7.742,February,2011
1,1456800.28,0,62.9,3.065,7.742,February,2011
1,1636263.41,0,59.58,3.288,7.742,March,2011
1,1553191.63,0,53.56,3.459,7.742,March,2011
1,1576818.06,0,62.76,3.488,7.742,March,2011
1,1541102.38,0,69.97,3.473,7.742,March,2011
1,1495064.75,0,59.17,3.524,7.682,April,2011
1,1614259.35,0,67.84,3.622,7.682,April,2011
1,1559889.0,0,71.27,3.743,7.682,April,2011
1,1564819.81,0,72.99,3.807,7.682,April,2011
1,1455090.69,0,72.03,3.81,7.682,April,2011
1,1629391.28,0,64.61,3.906,7.682,May,2011
1,1604775.58,0,75.64,3.899,7.682,May,2011
1,1428218.27,0,67.63,3.907,7.682,May,2011
1,1466046.67,0,77.72,3.786,7.682,May,2011
1,1635078.41,0,83.0,3.699,7.682,June,2011
1,1588948.32,0,83.13,3.648,7.682,June,2011
1,1532114.86,0,86.41,3.637,7.682,June,2011
1,1438830.15,0,83.58,3.594,7.682,June,2011
1,1488538.09,0,85.55,3.524,7.962,July,2011
1,1534849.64,0,85.83,3.48,7.962,July,2011
1,1455119.97,0,88.54,3.575,7.962,July,2011
1,1396926.82,0,85.77,3.651,7.962,July,2011
1,1352219.79,0,86.83,3.682,7.962,July,2011
1,1624383.75,0,91.65,3.684,7.962,August,2011
1,1525147.09,0,90.76,3.638,7.962,August,2011
1,1530761.43,0,89.94,3.554,7.962,August,2011
1,1464693.46,0,87.96,3.523,7.962,August,2011
1,1550229.22,0,87.83,3.533,7.962,September,2011
1,1540471.24,1,76.0,3.546,7.962,September,2011
1,1514259.78,0,79.94,3.526,7.962,September,2011
1,1380020.27,0,75.8,3.467,7.962,September,2011
1,1394561.83,0,79.69,3.355,7.962,September,2011
1,1630989.95,0,69.31,3.285,7.866,October,2011
1,1493525.93,0,71.74,3.274,7.866,October,2011
1,1502562.78,0,63.71,3.353,7.866,October,2011
1,1445249.09,0,66.57,3.372,7.866,October,2011
1,1697229.58,0,54.98,3.332,7.866,November,2011
1,1594938.89,0,59.11,3.297,7.866,November,2011
1,1539483.7,0,62.25,3.308,7.866,November,2011
1,2033320.66,1,60.14,3.236,7.866,November,2011
1,1584083.95,0,48.91,3.172,7.866,December,2011
1,1799682.38,0,43.93,3.158,7.866,December,2011
1,1881176.67,0,51.63,3.159,7.866,December,2011
1,2270188.99,0,47.96,3.112,7.866,December,2011
1,1497462.72,1,44.55,3.129,7.866,December,2011
1,1550369.92,0,49.01,3.157,7.348,January,2012
1,1459601.17,0,48.53,3.261,7.348,January,2012
1,1394393.84,0,54.11,3.268,7.348,January,2012
1,1319325.59,0,54.26,3.29,7.348,January,2012
1,1636339.65,0,56.55,3.36,7.348,February,2012
1,1802477.43,1,48.02,3.409,7.348,February,2012
1,1819870.0,0,45.32,3.51,7.348,February,2012
1,1539387.83,0,57.25,3.555,7.348,February,2012
1,1688420.76,0,60.96,3.63,7.348,March,2012
1,1675431.16,0,58.76,3.669,7.348,March,2012
1,1677472.78,0,,3.734,7.348,March,2012
1,1511068.07,0,65.93,3.787,7.348,March,2012
1,1649604.63,0,67.61,3.845,7.348,March,2012
1,1899676.88,0,70.43,3.891,7.143,April,2012
1,1621031.7,0,69.07,3.891,7.143,April,2012
1,1521577.87,0,66.76,3.877,7.143,April,2012
1,1468928.37,0,67.23,3.814,7.143,April,2012
1,1684519.99,0,75.55,3.749,7.143,May,2012
1,1611096.05,0,73.77,3.688,7.143,May,2012
1,1595901.87,0,70.33,3.63,7.143,May,2012
1,1555444.55,0,77.22,3.561,7.143,May,2012
1,1624477.58,0,77.95,3.501,7.143,June,2012
1,1697230.96,0,78.3,3.452,7.143,June,2012
1,1630607.0,0,79.35,3.393,7.143,June,2012
1,1527845.81,0,78.39,3.346,7.143,June,2012
1,1540421.49,0,84.88,3.286,7.143,June,2012
1,1769854.16,0,81.57,3.227,6.908,July,2012
1,1527014.04,0,77.12,3.256,6.908,July,2012
1,1497954.76,0,80.42,3.311,6.908,July,2012
1,1439123.71,0,82.66,3.407,6.908,July,2012
1,1631135.79,0,86.11,3.417,6.908,August,2012
1,1592409.97,0,85.05,3.494,6.908,August,2012
1,1597868.05,0,84.85,3.571,6.908,August,2012
1,1494122.38,0,77.66,3.62,6.908,August,2012
1,1582083.4,0,80.49,3.638,6.908,August,2012
1,1661767.33,1,83.96,3.73,6.908,September,2012
1,1517428.87,0,74.97,3.717,6.908,September,2012
1,1506126.06,0,69.87,3.721,6.908,September,2012
1,1437059.26,0,76.08,3.666,6.908,September,2012
1,1670785.97,0,68.55,3.617,6.573,October,2012
1,1573072.81,0,62.99,3.601,6.573,October,2012
1,1508068.77,0,67.97,3.594,6.573,October,2012
1,1493659.74,0,69.16,3.506,6.573,October,2012
2,2136989.46,0,40.19,2.572,8.324,February,2010
2,2137809.5,1,38.49,2.548,8.324,February,2010
2,2124451.54,0,39.69,2.514,8.324,February,2010
2,1865097.27,0,46.1,2.561,8.324,February,2010
2,1991013.13,0,47.17,2.625,8.324,March,2010
2,1990483.78,0,57.56,2.667,8.324,March,2010
2,1946070.88,0,54.52,2.72,8.324,March,2010
2,1750197.81,0,51.26,2.732,8.324,March,2010
2,2066187.72,0,63.27,2.719,8.2,April,2010
2,1954689.21,0,65.41,2.77,8.2,April,2010
2,1874957.94,0,68.07,2.808,8.2,April,2010
2,1821990.93,0,65.11,2.795,8.2,April,2010
2,1802450.29,0,66.98,2.78,8.2,April,2010
2,2042581.71,0,71.28,2.835,8.2,May,2010
2,1880752.36,0,73.31,2.854,8.2,May,2010
2,1896937.1,0,74.83,2.826,8.2,May,2010
2,1957113.89,0,81.13,2.759,8.2,May,2010
2,2102539.93,0,81.81,2.705,8.2,June,2010
2,2025538.76,0,83.4,2.668,8.2,June,2010
2,2001636.96,0,85.81,2.637,8.2,June,2010
2,1939927.09,0,86.26,2.653,8.2,June,2010
2,2003940.64,0,82.74,2.669,8.099,July,2010
2,1880902.62,0,82.59,2.642,8.099,July,2010
2,1845879.79,0,85.32,2.623,8.099,July,2010
2,1781717.71,0,87.66,2.608,8.099,July,2010
2,1804246.16,0,83.49,2.64,8.099,July,2010
2,1991909.98,0,89.53,2.627,8.099,August,2010
2,1895601.05,0,89.05,2.692,8.099,August,2010
2,1964335.23,0,88.7,2.664,8.099,August,2010
2,1863840.49,0,87.12,2.619,8.099,August,2010
2,1904608.09,0,81.83,2.577,8.099,September,2010
2,1839128.83,1,79.09,2.565,8.099,September,2010
2,1793903.6,0,82.05,2.582,8.099,September,2010
2,1724557.22,0,81.79,2.624,8.099,September,2010
2,1827440.43,0,69.24,2.603,8.163,October,2010
2,1849921.44,0,63.19,2.633,8.163,October,2010
2,1794355.49,0,65.8,2.72,8.163,October,2010
2,1737947.64,0,68.5,2.725,8.163,October,2010
2,1802755.11,0,66.24,2.716,8.163,October,2010
2,1939061.41,0,57.85,2.689,8.163,November,2010
2,1916812.74,0,59.69,2.728,8.163,November,2010
2,1956739.17,0,50.81,2.771,8.163,November,2010
2,2658725.29,1,62.98,2.735,8.163,November,2010
2,2015781.27,0,49.33,2.708,8.163,December,2010
2,2378726.55,0,45.5,2.843,8.163,December,2010
2,2609166.75,0,47.55,2.869,8.163,December,2010
2,3436007.68,0,49.97,2.886,8.163,December,2010
2,1750434.55,1,47.3,2.943,8.163,December,2010
2,1758050.79,0,44.69,2.976,8.028,January,2011
2,1744193.58,0,33.02,2.983,8.028,January,2011
2,1751384.9,0,41.4,3.016,8.028,January,2011
2,1695371.68,0,42.83,3.01,8.028,January,2011
2,1929346.23,0,38.25,2.989,8.028,February,2011
2,2168041.61,1,33.19,3.022,8.028,February,2011
2,2080884.82,0,57.83,3.045,8.028,February,2011
2,1833511.08,0,60.8,3.065,8.028,February,2011
2,1981607.78,0,57.77,3.288,8.028,March,2011
2,1879107.31,0,52.7,3.459,8.028,March,2011
2,1902557.66,0,62.32,3.488,8.028,March,2011
2,1766162.05,0,69.42,3.473,8.028,March,2011
2,1800171.36,0,55.43,3.524,7.931,April,2011
2,1847552.61,0,67.0,3.622,7.931,April,2011
2,1856467.84,0,69.48,3.743,7.931,April,2011
2,1886339.6,0,69.39,3.807,7.931,April,2011
2,1745545.28,0,69.21,3.81,7.931,April,2011
2,1837743.6,0,61.48,3.906,7.931,May,2011
2,1838513.07,0,74.61,3.899,7.931,May,2011
2,1688281.86,0,67.14,3.907,7.931,May,2011
2,1797732.56,0,76.42,3.786,7.931,May,2011
2,1933756.21,0,83.07,3.699,7.931,June,2011
2,1929153.16,0,83.4,3.648,7.931,June,2011
2,1953771.99,0,86.53,3.637,7.931,June,2011
2,1790925.8,0,85.17,3.594,7.931,June,2011
2,1866243.0,0,85.69,3.524,7.852,July,2011
2,1853161.99,0,87.7,3.48,7.852,July,2011
2,1785187.29,0,89.83,3.575,7.852,July,2011
2,1743816.41,0,89.34,3.651,7.852,July,2011
2,1680693.06,0,90.07,3.682,7.852,July,2011
2,1876704.26,0,93.34,3.684,7.852,August,2011
2,1812768.26,0,91.58,3.638,7.852,August,2011
2,1844094.59,0,89.86,3.554,7.852,August,2011
2,1821139.91,0,90.45,3.523,7.852,August,2011
2,1809119.7,0,89.64,3.533,7.852,September,2011
2,1748000.65,1,77.97,3.546,7.852,September,2011
2,1691439.52,0,78.85,3.526,7.852,September,2011
2,1669299.78,0,75.58,3.467,7.852,September,2011
2,1650394.44,0,78.14,3.355,7.852,September,2011
2,1837553.43,0,69.92,3.285,7.441,October,2011
2,1743882.19,0,71.67,3.274,7.441,October,2011
2,1834680.25,0,64.53,3.353,7.441,October,2011
2,1769296.25,0,65.87,3.372,7.441,October,2011
2,1959707.9,0,55.53,3.332,7.441,November,2011
2,1920725.15,0,59.33,3.297,7.441,November,2011
2,1902762.5,0,62.01,3.308,7.441,November,2011
2,2614202.3,1,56.36,3.236,7.441,November,2011
2,1954952.0,0,48.74,3.172,7.441,December,2011
2,2290549.32,0,41.76,3.158,7.441,December,2011
2,2432736.52,0,50.13,3.159,7.441,December,2011
2,3224369.8,0,46.66,3.112,7.441,December,2011
2,1874226.52,1,44.57,3.129,7.441,December,2011
2,1799520.14,0,46.75,3.157,7.057,January,2012
2,1744725.48,0,45.99,3.261,7.057,January,2012
2,1711769.11,0,51.7,3.268,7.057,January,2012
2,1660906.14,0,50.5,3.29,7.057,January,2012
2,1935299.94,0,55.21,3.36,7.057,February,2012
2,2103322.68,1,46.98,3.409,7.057,February,2012
2,2196688.46,0,43.82,3.51,7.057,February,2012
2,1861802.7,0,54.63,3.555,7.057,February,2012
2,1952555.66,0,58.79,3.63,7.057,March,2012
2,1937628.26,0,57.11,3.669,7.057,March,2012
2,1976082.13,0,63.68,3.734,7.057,March,2012
2,1790439.16,0,64.01,3.787,7.057,March,2012
2,1857480.84,0,66.83,3.845,7.057,March,2012
2,2129035.91,0,68.43,3.891,6.891,April,2012
2,1935869.1,0,68.08,3.891,6.891,April,2012
2,1847344.45,0,65.69,3.877,6.891,April,2012
2,1764133.09,0,67.2,3.814,6.891,April,2012
2,1923957.09,0,76.73,3.749,6.891,May,2012
2,1917520.99,0,73.87,3.688,6.891,May,2012
2,2000940.67,0,71.27,3.63,6.891,May,2012
2,1912791.09,0,78.19,3.561,6.891,May,2012
2,1910092.37,0,78.38,3.501,6.891,June,2012
2,2010216.49,0,78.69,3.452,6.891,June,2012
2,1962924.3,0,80.56,3.393,6.891,June,2012
2,1887733.21,0,81.04,3.346,6.891,June,2012
2,1881046.12,0,86.32,3.286,6.891,June,2012
2,2041507.4,0,84.2,3.227,6.565,July,2012
2,1830075.13,0,80.17,3.256,6.565,July,2012
2,1819666.46,0,83.23,3.311,6.565,July,2012
2,1757923.88,0,86.37,3.407,6.565,July,2012
2,1946104.64,0,90.22,3.417,6.565,August,2012
2,1866719.96,0,88.55,3.494,6.565,August,2012
2,1928016.01,0,84.79,3.571,6.565,August,2012
2,1876788.15,0,76.91,3.62,6.565,August,2012
2,1947083.3,0,82.64,3.638,6.565,August,2012
2,1898777.07,1,87.65,3.73,6.565,September,2012
2,1814806.63,0,75.88,3.717,6.565,September,2012
2,1829415.67,0,71.09,3.721,6.565,September,2012
2,1746470.56,0,79.45,3.666,6.565,September,2012
2,1998321.04,0,70.27,3.617,6.17,October,2012
2,1900745.13,0,60.97,3.601,6.17,October,2012
2,1847990.41,0,68.08,3.594,6.17,October,2012
2,1834458.35,0,69.79,3.506,6.17,October,2012
3,461622.22,0,45.71,2.572,7.368,February,2010
3,420728.96,1,47.93,2.548,7.368,February,2010
3,421642.19,0,47.07,2.514,7.368,February,2010
3,407204.86,0,52.05,2.561,7.368,February,2010
3,415202.04,0,53.04,2.625,7.368,March,2010
3,384200.69,0,63.08,2.667,7.368,March,2010
3,375328.59,0,60.42,2.72,7.368,March,2010
3,359949.27,0,57.06,2.732,7.368,March,2010
3,423294.4,0,65.56,2.719,7.343,April,2010
3,415870.28,0,68.0,2.77,7.343,April,2010
3,354993.26,0,66.98,2.808,7.343,April,2010
3,339976.65,0,67.87,2.795,7.343,April,2010
3,361248.39,0,70.24,2.78,7.343,April,2010
3,399323.86,0,73.47,2.835,7.343,May,2010
3,384357.94,0,77.18,2.854,7.343,May,2010
3,343763.17,0,75.81,2.826,7.343,May,2010
3,350089.23,0,78.6,2.759,7.343,May,2010
3,396968.8,0,78.53,2.705,7.343,June,2010
3,355017.09,0,82.1,2.668,7.343,June,2010
3,364076.85,0,83.52,2.637,7.343,June,2010
3,357346.48,0,83.79,2.653,7.343,June,2010
3,381151.72,0,82.2,2.669,7.346,July,2010
3,349214.18,0,81.75,2.642,7.346,July,2010
3,352728.78,0,84.32,2.623,7.346,July,2010
3,352864.49,0,83.32,2.608,7.346,July,2010
3,347955.05,0,82.04,2.64,7.346,July,2010
3,402635.76,0,85.13,2.627,7.346,August,2010
3,339597.38,0,86.74,2.692,7.346,August,2010
3,351728.21,0,88.02,2.664,7.346,August,2010
3,362134.09,0,86.15,2.619,7.346,August,2010
3,366473.97,0,84.16,2.577,7.346,September,2010
3,352260.97,1,80.84,2.565,7.346,September,2010
3,363064.64,0,82.36,2.582,7.346,September,2010
3,355626.87,0,76.9,2.624,7.346,September,2010
3,358784.1,0,73.6,2.603,7.564,October,2010
3,395107.35,0,66.99,2.633,7.564,October,2010
3,345584.39,0,69.71,2.72,7.564,October,2010
3,348895.98,0,71.64,2.725,7.564,October,2010
3,348591.74,0,72.04,2.716,7.564,October,2010
3,423175.56,0,62.94,2.689,7.564,November,2010
3,386635.03,0,62.79,2.728,7.564,November,2010
3,372545.32,0,57.72,2.771,7.564,November,2010
3,565567.84,1,68.71,2.735,7.564,November,2010
3,476420.77,0,53.76,2.708,7.564,December,2010
3,467642.03,0,51.13,2.843,7.564,December,2010
3,498159.39,0,52.2,2.869,7.564,December,2010
3,605990.41,0,57.16,2.886,7.564,December,2010
3,382677.76,1,53.2,2.943,7.564,December,2010
3,378241.34,0,53.35,2.976,7.551,January,2011
3,381061.1,0,44.76,2.983,7.551,January,2011
3,350876.7,0,50.74,3.016,7.551,January,2011
3,364866.24,0,48.71,3.01,7.551,January,2011
3,438516.53,0,45.95,2.989,7.551,February,2011
3,430526.21,1,43.57,3.022,7.551,February,2011
3,432782.1,0,61.58,3.045,7.551,February,2011
3,397211.19,0,67.4,3.065,7.551,February,2011
3,437084.51,0,65.11,3.288,7.551,March,2011
3,404753.3,0,61.29,3.459,7.551,March,2011
3,392109.51,0,69.47,3.488,7.551,March,2011
3,380683.67,0,72.94,3.473,7.551,March,2011
3,374556.08,0,68.76,3.524,7.574,April,2011
3,384075.31,0,72.55,3.622,7.574,April,2011
3,366250.69,0,75.88,3.743,7.574,April,2011
3,391860.04,0,76.91,3.807,7.574,April,2011
3,367405.4,0,78.69,3.81,7.574,April,2011
3,413042.12,0,69.45,3.906,7.574,May,2011
3,386312.68,0,79.87,3.899,7.574,May,2011
3,364603.13,0,75.79,3.907,7.574,May,2011
3,369350.6,0,84.41,3.786,7.574,May,2011
3,394507.84,0,84.29,3.699,7.574,June,2011
3,391638.75,0,84.84,3.648,7.574,June,2011
3,403423.34,0,86.96,3.637,7.574,June,2011
3,385520.71,0,84.94,3.594,7.574,June,2011
3,368962.72,0,85.1,3.524,7.567,July,2011
3,395146.24,0,85.38,3.48,7.567,July,2011
3,373454.33,0,87.14,3.575,7.567,July,2011
3,360617.37,0,86.19,3.651,7.567,July,2011
3,345381.29,0,88.07,3.682,7.567,July,2011
3,409981.25,0,88.45,3.684,7.567,August,2011
3,380376.85,0,88.88,3.638,7.567,August,2011
3,379716.91,0,88.44,3.554,7.567,August,2011
3,366367.55,0,87.67,3.523,7.567,August,2011
3,375988.69,0,89.12,3.533,7.567,September,2011
3,377347.49,1,81.72,3.546,7.567,September,2011
3,375629.51,0,83.63,3.526,7.567,September,2011
3,365248.94,0,80.19,3.467,7.567,September,2011
3,368477.93,0,82.58,3.355,7.567,September,2011
3,403342.4,0,75.54,3.285,7.197,October,2011
3,368282.57,0,73.75,3.274,7.197,October,2011
3,394976.36,0,69.03,3.353,7.197,October,2011
3,389540.62,0,71.04,3.372,7.197,October,2011
3,459443.22,0,59.31,3.332,7.197,November,2011
3,407764.25,0,61.7,3.297,7.197,November,2011
3,398838.97,0,63.91,3.308,7.197,November,2011
3,556925.19,1,68.0,3.236,7.197,November,2011
3,472511.32,0,54.97,3.172,7.197,December,2011
3,468772.8,0,49.26,3.158,7.197,December,2011
3,510747.62,0,57.95,3.159,7.197,December,2011
3,551221.21,0,53.41,3.112,7.197,December,2011
3,410553.88,1,48.29,3.129,7.197,December,2011
3,398178.21,0,52.42,3.157,6.833,January,2012
3,367438.62,0,51.86,3.261,6.833,January,2012
3,365818.61,0,56.2,3.268,6.833,January,2012
3,349518.1,0,58.06,3.29,6.833,January,2012
3,424960.66,0,59.33,3.36,6.833,February,2012
3,473292.47,1,51.65,3.409,6.833,February,2012
3,475591.08,0,52.39,3.51,6.833,February,2012
3,418925.47,0,60.12,3.555,6.833,February,2012
3,469752.56,0,61.65,3.63,6.833,March,2012
3,445162.05,0,60.71,3.669,6.833,March,2012
3,411775.8,0,64.0,3.734,6.833,March,2012
3,413907.25,0,66.53,3.787,6.833,March,2012
3,407488.84,0,69.36,3.845,6.833,March,2012
3,503232.13,0,73.01,3.891,6.664,April,2012
3,420789.74,0,72.83,3.891,6.664,April,2012
3,434822.13,0,72.05,3.877,6.664,April,2012
3,394616.11,0,73.39,3.814,6.664,April,2012
